TreeID,Species,Site_X,Site_Y,Tree_x,Tree_y,Coordinate System/Datum
K7#3,B. Fir,712038.99,5090334.42,712042.80,5090333.20,
K8#1,Blk. Ash,712013.93,5090333.56,712012.63,5090337.13,
K8#2,Blk. Ash,712013.93,5090333.56,712011.48,5090337.69,
K8#3,S. Alder,712013.93,5090333.56,712013.57,5090331.49,
K9#1,B. Fir,711963.81,5090331.84,711963.57,5090331.29,
K9#2,Aspen,711963.81,5090331.84,711962.48,5090335.93,
K9#3,Aspen,711963.81,5090331.84,711964.06,5090334.83,
K10#1,Y. Birch,711863.56,5090328.40,711861.05,5090331.11,
K10#2,B. Fir,711863.56,5090328.40,711862.05,5090328.93,
K10#3,R. Maple,711863.56,5090328.40,711859.69,5090327.95,
K11#1,R. Maple,711838.50,5090327.54,711839.03,5090328.00,
K11#2,Aspen,711838.50,5090327.54,711842.68,5090325.87,
K11#3,Aspen,711838.50,5090327.54,711840.42,5090332.27,
K12#1,W. Birch,711788.38,5090325.82,711787.19,5090323.85,
K12#2,W. Birch,711788.38,5090325.82,711788.02,5090327.59,
K12#3,R. Maple,711788.38,5090325.82,711785.39,5090323.48,
L1#1,R. Maple,712391.57,5090296.52,712395.72,5090297.97,
L1#2,R. Maple,712391.57,5090296.52,712389.86,5090302.69,
L1#3,B. Fir,712391.57,5090296.52,712387.88,5090294.97,
L2#1,B. Fir,712366.51,5090295.66,712366.03,5090293.72,
L2#2,B. Fir,712366.51,5090295.66,712364.85,5090295.30,
L2#3,Aspen,712366.51,5090295.66,712368.04,5090296.61,
L3#1,R. Maple,712316.39,5090293.93,712315.44,5090294.50,
L3#2,R. Maple,712316.39,5090293.93,712315.09,5090294.00,
L3#3,B. Fir,712316.39,5090293.93,712316.57,5090293.26,
L4#1,R. Maple,712216.14,5090290.49,712215.88,5090289.52,
L4#2,R. Pine,712216.14,5090290.49,712221.31,5090285.20,
L4#3,Aspen,712216.14,5090290.49,712215.09,5090292.19,
L5#1,Aspen,712191.08,5090289.63,712193.32,5090286.07,
L5#2,R. Pine,712191.08,5090289.63,712188.86,5090292.34,
L5#3,R. Pine,712191.08,5090289.63,712193.05,5090289.28,
L6#1,R. Pine,712140.95,5090287.91,712139.65,5090284.23,
L6#2,R. Pine,712140.95,5090287.91,712143.21,5090289.20,
L6#3,S. Maple,712140.95,5090287.91,712139.82,5090286.14,
L7#1,R. Maple,712040.71,5090284.46,712041.40,5090280.02,
L7#2,Y. Birch,712040.71,5090284.46,712039.59,5090283.19,
L7#3,B. Fir,712040.71,5090284.46,712041.69,5090286.43,
L8#1,W. Birch,712015.65,5090283.60,712012.71,5090286.88,
L8#2,R. Maple,712015.65,5090283.60,712013.58,5090283.96,
L8#3,Blk. Ash,712015.65,5090283.60,712012.29,5090284.17,
L9#1,R. Maple,711965.52,5090281.88,711962.15,5090284.38,
L9#2,R. Maple,711965.52,5090281.88,711964.75,5090286.11,
L9#3,Blk. Ash,711965.52,5090281.88,711963.89,5090286.92,
